,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.27633920904853815,1e-05,27.633920904853813,True,fast,uniform,0.2449280294549754,0.19378154369620124
fast_n,1.0,0.1,5.0,True,fast,uniform,0.10666819967615472,0.10000000004097345
fast_a,10.0,0.01,10000.0,True,fast,uniform,9824.952587609372,761.4355081281859
fast_srmax,250.0,1e-05,1000.0,True,fast,uniform,5042.027672813261,516.1873594663786
fast_lp,0.25,1e-05,1.0,False,fast,uniform,,0.25
fast_ks,100.0,1e-05,10000.0,True,fast,uniform,5029.1071659384015,103.00129000625198
fast_gamma,2.0,1e-05,20.0,True,fast,uniform,28.794164632155255,4.819708255672806
fast_kv,1.0,0.25,2.0,True,fast,uniform,0.20629264736816932,0.40494298812197094
fast_simax,2.0,0.0,10.0,False,fast,uniform,,2.0
slow_A,0.15536581271571379,1e-05,15.53658127157138,True,slow,uniform,0.014161598390953963,0.036226181606688626
slow_n,1.0,0.1,5.0,True,slow,uniform,0.7000128722371599,3.4595490072056507
slow_a,10.0,0.01,10000.0,True,slow,uniform,3.4793041246352217,10.672823247631332
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.4134332250943576,-0.17286743109669436
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,19860.279549609793,1629.7501880487387
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.033403936174538816,0.00272652046225763
constant_d,7.4715937507061065,,,True,constant,uniform,0.7438529720026961,7.437993053959024
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,4.118160535868744,10.00567650077617
