,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.27633920904853815,1e-05,27.633920904853813,True,fast,uniform,0.07553888950180757,0.25254177106484305
fast_n,1.0,0.1,5.0,True,fast,uniform,6.307993826459815,2.440807609140812
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.7180379054719499,0.29587695127118246
fast_srmax,250.0,1e-05,1000.0,True,fast,uniform,2504.74054030821,861.2448480575442
fast_lp,0.25,1e-05,1.0,False,fast,uniform,,0.25
fast_ks,100.0,1e-05,10000.0,True,fast,uniform,94.31173718493773,14.181292162951056
fast_gamma,2.0,1e-05,20.0,True,fast,uniform,3.234865666350777,2.367149615731621
fast_kv,1.0,0.25,2.0,True,fast,uniform,0.13799407318386267,0.4267802525597669
fast_simax,2.0,0.0,10.0,False,fast,uniform,,2.0
slow_A,0.12016032824786091,1e-05,12.016032824786091,True,slow,uniform,0.0137393577857632,0.028754420361988848
slow_n,1.0,0.1,5.0,True,slow,uniform,0.5816473521824452,2.6991786646908746
slow_a,10.0,0.01,10000.0,True,slow,uniform,7.595537537885656,18.6932859881876
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.017813548600182163,-0.07449181878029552
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,7.96112482372656,19.72623791402612
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,1.0148845853384876,1.5650407527405759
constant_d,7.4715937507061065,,,True,constant,uniform,0.10431760011234965,7.233657597912405
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,1.6431606228998448,4.636601625351449
