,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.27633920904853815,1e-05,27.633920904853813,True,fast,uniform,2.320744724699262,0.6701814345700963
fast_n,1.0,0.1,5.0,True,fast,uniform,0.08892190280876013,0.7586039282077026
fast_a,10.0,0.01,10000.0,True,fast,uniform,8530.90709340792,2042.2783654295479
fast_srmax,250.0,1e-05,1000.0,True,fast,uniform,3626.8247216615628,358.08645102802154
fast_lp,0.25,1e-05,1.0,False,fast,uniform,,0.25
fast_ks,100.0,1e-05,10000.0,True,fast,uniform,811.7700731006545,109.85719063265668
fast_gamma,2.0,1e-05,20.0,True,fast,uniform,0.06726355424566341,0.7345784943965815
fast_kv,1.0,0.25,2.0,True,fast,uniform,0.20683719813383852,0.250000024839939
fast_simax,2.0,0.0,10.0,False,fast,uniform,,2.0
slow_A,0.21970612118269395,1e-05,21.970612118269393,True,slow,uniform,0.1365120055878692,0.09574158183206559
slow_n,1.0,0.1,5.0,True,slow,uniform,1.5307175090304905,3.2860050960966247
slow_a,10.0,0.01,10000.0,True,slow,uniform,19.539269533832925,25.810673809686147
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.029037161743360834,-0.10759974879107065
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,9.824101766268997,23.777838492516548
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.9202834846447218,1.4129937440568598
constant_d,7.4715937507061065,,,True,constant,uniform,3.5139945305670794,6.104132684740093
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,2.136450643487747,6.0025198814166725
