,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.27633920904853815,1e-05,27.633920904853813,True,fast,uniform,0.005855012388949831,0.01878549981138595
fast_n,1.0,0.1,5.0,True,fast,uniform,0.12633918718551018,0.9165718918897124
fast_a,10.0,0.01,10000.0,True,fast,uniform,5.981008509994575,11.103492333938044
fast_srmax,250.0,1e-05,1000.0,True,fast,uniform,10222710.852452137,994.5162863056777
fast_lp,0.25,1e-05,1.0,False,fast,uniform,,0.25
fast_ks,100.0,1e-05,10000.0,True,fast,uniform,2270077.304127443,285.9661780284737
fast_gamma,2.0,1e-05,20.0,True,fast,uniform,0.07620368856998061,0.7722726621247659
fast_kv,1.0,0.25,2.0,True,fast,uniform,0.19973268056137408,0.25000000000000006
fast_simax,2.0,0.0,10.0,False,fast,uniform,,2.0
slow_A,0.10969043542235574,1e-05,10.969043542235573,True,slow,uniform,0.00992186558657247,0.08748746677318446
slow_n,1.0,0.1,5.0,True,slow,uniform,0.15373120970536258,1.8239414388638688
slow_a,10.0,0.01,10000.0,True,slow,uniform,5.85710563968544,51.10271462164821
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.006536473770934222,-0.12904956605555348
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,4.291224642135904,30.573561612204443
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.18489515207955573,0.7274679599815503
constant_d,7.4715937507061065,,,True,constant,uniform,0.10018552806683688,6.749873403797356
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,1.102196466018405,4.000846100435538
