,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.27633920904853815,1e-05,27.633920904853813,True,fast,uniform,0.38944930279357437,0.11599952415841171
fast_n,1.0,0.1,5.0,True,fast,uniform,0.15224920952338186,0.18768370571258314
fast_a,10.0,0.01,10000.0,True,fast,uniform,24407.599673335204,1049.5333480069476
fast_srmax,250.0,1e-05,1000.0,True,fast,uniform,530903.4056467783,574.4793631545816
fast_lp,0.25,1e-05,1.0,False,fast,uniform,,0.25
fast_ks,100.0,1e-05,10000.0,True,fast,uniform,2215059.0135157323,393.1862068899417
fast_gamma,2.0,1e-05,20.0,True,fast,uniform,76.57066959957466,6.09600288483642
fast_kv,1.0,0.25,2.0,True,fast,uniform,0.21905748106601095,0.25027794746439447
fast_simax,2.0,0.0,10.0,False,fast,uniform,,2.0
slow_A,0.17060024696300397,1e-05,17.0600246963004,True,slow,uniform,0.0126419272863879,0.04216541498805334
slow_n,1.0,0.1,5.0,True,slow,uniform,0.7257471463698427,3.9087341821414334
slow_a,10.0,0.01,10000.0,True,slow,uniform,2.452214684785891,9.457561454464393
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.4851385128407482,-0.2092777968612499
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,29964.190759924706,2434.5321542357633
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.024077406550983203,0.001949459031504767
constant_d,7.4715937507061065,,,True,constant,uniform,1.2644060758441107,7.454109561810478
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,3.2892643039903384,9.409010011154207
