,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.27633920904853815,1e-05,27.633920904853813,True,fast,uniform,0.9875627606445658,0.17076629744168104
fast_n,1.0,0.1,5.0,True,fast,uniform,0.11269066097108439,0.1000588374222988
fast_a,10.0,0.01,10000.0,True,fast,uniform,17292.186140768936,286.35529891774524
fast_srmax,250.0,1e-05,1000.0,True,fast,uniform,2279796.6634444413,615.7463490602067
fast_lp,0.25,1e-05,1.0,False,fast,uniform,,0.25
fast_ks,100.0,1e-05,10000.0,True,fast,uniform,264305.0024315131,18.026737938636693
fast_gamma,2.0,1e-05,20.0,True,fast,uniform,20.882212295707074,3.960033168461241
fast_kv,1.0,0.25,2.0,True,fast,uniform,0.19426138323616643,0.26666632397254947
fast_simax,2.0,0.0,10.0,False,fast,uniform,,2.0
slow_A,0.14371757113519837,1e-05,14.371757113519838,True,slow,uniform,0.28994279118027,0.01863009181376278
slow_n,1.0,0.1,5.0,True,slow,uniform,3.4693757740204276,1.9461260305412853
slow_a,10.0,0.01,10000.0,True,slow,uniform,535.7976809530012,48.58238558842441
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.5942532165183405,-0.16231338288740435
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,1883.8504612778083,236.52503002236213
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.6843290827305939,0.08286986847920544
constant_d,7.4715937507061065,,,True,constant,uniform,0.9319340500955661,7.462352640013417
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,867.4142942926579,160.03381908674888
