,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.27633920904853815,1e-05,27.633920904853813,True,fast,uniform,0.09459709855319617,0.159688014297651
fast_n,1.0,0.1,5.0,True,fast,uniform,6.188105449246427,2.6191845444882307
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.6448257317500354,0.28589895023427464
fast_srmax,250.0,1e-05,1000.0,True,fast,uniform,4053.3329963114566,963.9010605273836
fast_lp,0.25,1e-05,1.0,False,fast,uniform,,0.25
fast_ks,100.0,1e-05,10000.0,True,fast,uniform,385.6632225897324,32.44976242630848
fast_gamma,2.0,1e-05,20.0,True,fast,uniform,6.628429433616804,2.677654181139981
fast_kv,1.0,0.25,2.0,True,fast,uniform,0.17833298551904797,0.2501290611707575
fast_simax,2.0,0.0,10.0,False,fast,uniform,,2.0
slow_A,0.12682139489435426,1e-05,12.682139489435427,True,slow,uniform,0.03864931024893789,0.07243655686505089
slow_n,1.0,0.1,5.0,True,slow,uniform,0.4880958945979519,2.3076590831192414
slow_a,10.0,0.01,10000.0,True,slow,uniform,14.21746711590775,38.52988488279388
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.01937816598167185,-0.10471107671160841
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,7.808285596389663,25.78971968308564
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.5755454704207551,1.1752422371447613
constant_d,7.4715937507061065,,,True,constant,uniform,0.23470584994401647,6.954565978694169
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,2.1267943470345494,5.4609564501691406
